Time,w_f,F,N1,N2,P3,T5
0.255,0.7,38.8011525983231,7450.70644788334,13075.1819615423,1762.01472865295,1260.72132648005
0.256,0.7,38.8011525983231,7450.70644788334,13075.1819615423,1762.01472865295,1260.72132648005
0.257,0.7,38.8011525983231,7450.70644788334,13075.1819615423,1762.01472865295,1260.72132648005
0.258,0.7,38.8011525983231,7450.70644788334,13075.1819615423,1762.01472865295,1260.72132648005
0.259,0.7,38.8011525983231,7450.70644788334,13075.1819615423,1762.01472865295,1260.72132648005
0.26,0.7,39.2629344227824,7509.99945462265,13124.1759568999,1770.95964196995,1238.21641052475
0.261,0.7,39.2629344227824,7509.99945462265,13124.1759568999,1770.95964196995,1238.21641052475
0.262,0.7,39.2629344227824,7509.99945462265,13124.1759568999,1770.95964196995,1238.21641052475
0.263,0.7,39.2629344227824,7509.99945462265,13124.1759568999,1770.95964196995,1238.21641052475
0.264,0.7,39.2629344227824,7509.99945462265,13124.1759568999,1770.95964196995,1238.21641052475
0.265,0.7,39.2629344227824,7509.99945462265,13124.1759568999,1770.95964196995,1238.21641052475
0.266,0.7,39.2629344227824,7509.99945462265,13124.1759568999,1770.95964196995,1238.21641052475
0.267,0.7,39.2629344227824,7509.99945462265,13124.1759568999,1770.95964196995,1238.21641052475
0.268,0.7,39.2629344227824,7509.99945462265,13124.1759568999,1770.95964196995,1238.21641052475
0.269,0.7,39.2629344227824,7509.99945462265,13124.1759568999,1770.95964196995,1238.21641052475
0.27,0.7,39.2629344227824,7509.99945462265,13124.1759568999,1770.95964196995,1238.21641052475
0.271,0.7,39.2629344227824,7509.99945462265,13124.1759568999,1770.95964196995,1238.21641052475
0.272,0.7,39.2629344227824,7509.99945462265,13124.1759568999,1770.95964196995,1238.21641052475
0.273,0.7,39.2629344227824,7509.99945462265,13124.1759568999,1770.95964196995,1238.21641052475
0.274,0.7,39.2629344227824,7509.99945462265,13124.1759568999,1770.95964196995,1238.21641052475
0.275,0.7,39.2629344227824,7509.99945462265,13124.1759568999,1770.95964196995,1238.21641052475
0.276,0.7,39.2629344227824,7509.99945462265,13124.1759568999,1770.95964196995,1238.21641052475
